player_name,team,date_of_birth,age,marital_status,number_of_kids,nationality,country_of_birth,position,preferred_foot,height_cm,weight_kg,jersey_number,injury_status,agent,matches_played,minutes_played,goals,assists,tackles,interceptions,saves,clean_sheets,yellow_cards,red_cards,passing_accuracy,shot_accuracy,previous_club,years_at_club,contract_end_year,average_salary_zar,market_value_zar,signing_bonus_zar,release_clause_zar
Sibusiso Baloyi,Kaizer Chiefs,1994-01-16,31,Divorced,3,Ghanaian,Ghanaian,Forward,Left,180,69,45,Injured,SA Elite Agents,251,16315,75,13,22,15,0,0,2,1,91.3,82.4,Free State Stars,2,2027,214240.53,20273958.62,1345106.93,1200041.49
Sipho Dlamini,TS Galaxy,1991-01-01,34,Widowed,0,Ghanaian,Ghanaian,Forward,Both,167,90,77,Recovering,SoccerLink Africa,22,1298,43,8,4,4,0,0,3,3,72,57.6,Baroka FC,2,2027,160866.58,7260443.77,971051.24,32360615.59
Lindiwe Hlongwane,AmaZulu FC,2006-12-14,19,Widowed,1,Ghanaian,Ghanaian,Defender,Both,185,86,61,Injured,SoccerLink Africa,363,26499,4,4,89,23,0,0,0,3,74.5,44,Free State Stars,3,2028,277632.29,14340541.54,703568.37,24509767.9
Lindiwe Mokoena,AmaZulu FC,2006-05-20,19,Single,1,Ghanaian,Ghanaian,Midfielder,Both,173,70,23,Recovering,SoccerLink Africa,128,8704,68,48,73,33,0,0,1,1,89.5,72.4,Bidvest Wits,3,2028,211483.42,3578597.65,977492.74,13642625.86
Karabo Sithole,TS Galaxy,1994-04-17,31,Divorced,0,Ghanaian,Ghanaian,Goalkeeper,Left,195,86,41,Healthy,ProSport,181,10860,7,14,9,71,9,18,19,3,83.8,76.7,Black Leopards,3,2028,309486.78,20156079.16,341129.2,8449086.7
Kagiso Phiri,Richards Bay FC,1995-06-16,30,Divorced,3,Ghanaian,Ghanaian,Midfielder,Both,165,74,41,Injured,SoccerLink Africa,101,5252,117,25,75,113,0,0,16,1,89.1,46.6,Free State Stars,3,2028,165370.11,8788920.9,471520.5,9809856.34
Nomsa Ndlovu,Golden Arrows,2005-02-23,20,Divorced,0,Ghanaian,Ghanaian,Goalkeeper,Both,180,95,33,Injured,ProSport,170,10540,5,13,18,119,149,68,20,1,93.5,64.1,None,3,2028,121150.03,1757393.13,1350072.17,22121791.93
Vusi Nkosi,Stellenbosch FC,2007-07-13,18,Single,0,Ghanaian,Ghanaian,Midfielder,Left,174,74,60,Injured,SA Elite Agents,387,27864,4,60,4,13,0,0,17,2,75.7,47,Highlands Park,3,2028,29126.94,1842762.71,1868126.44,46925160.42
Lebogang Mabaso,SuperSport United,2003-04-11,22,Married,1,Ghanaian,Ghanaian,Goalkeeper,Right,174,84,8,Recovering,SoccerLink Africa,266,15428,7,11,16,77,183,64,16,3,76.2,76.4,None,3,2028,136798.81,12044731.95,1632445.08,44302964.68
Vusi Dlamini,Royal AM,2006-08-13,19,Single,1,Ghanaian,Ghanaian,Goalkeeper,Left,193,74,48,Healthy,PlayerFirst,318,23214,6,6,8,79,126,54,20,1,86.6,54.8,None,3,2028,302337.68,3301303.87,1910352.22,43093384.54
Mpho Mahlangu,SuperSport United,1997-03-28,28,Widowed,0,Ghanaian,Ghanaian,Midfielder,Right,184,62,43,Recovering,ProSport,268,24120,97,4,29,84,0,0,15,3,90.8,80.8,Tuks FC,3,2028,220626.9,5013225.75,962682.55,46150379.11
Lerato Mashaba,Polokwane City,1998-01-31,27,Widowed,0,Ghanaian,Ghanaian,Forward,Right,181,65,85,Healthy,None,241,19521,77,27,23,20,0,0,4,3,76.9,68.5,Jomo Cosmos,4,2029,116974.12,24003387.28,1941663.04,47327816.48
Nokuthula Mabena,Polokwane City,2003-03-16,22,Widowed,0,Ghanaian,Ghanaian,Defender,Both,193,92,6,Recovering,ProSport,167,11189,10,11,85,3,0,0,18,3,82.7,75.5,Tuks FC,4,2029,151858.81,8539232.65,1898677.92,44073988.83
Lebogang Mashaba,Mamelodi Sundowns,1992-01-05,33,Widowed,0,Ghanaian,Ghanaian,Defender,Left,193,67,1,Healthy,PlayerFirst,384,31488,10,11,21,67,0,0,20,2,92.4,67.7,Bidvest Wits,4,2029,289078.94,8913701.48,411344.51,11258347.39
Ayanda Mokoena,Polokwane City,1989-11-01,36,Divorced,0,Ghanaian,Ghanaian,Midfielder,Both,169,92,37,Injured,SA Elite Agents,329,23688,105,35,83,57,0,0,4,0,82.3,78.7,Tuks FC,4,2029,215173.37,7668787.7,1355340.65,35964133.64
Thabo Baloyi,Richards Bay FC,2000-07-16,25,Single,1,Ghanaian,Ghanaian,Goalkeeper,Left,183,69,94,Healthy,SA Elite Agents,315,16065,1,6,1,116,66,74,19,0,86.8,50.7,None,4,2029,339205.83,11706402.13,505719.22,15960162.06
Sibusiso Molefe,Bloemfontein Celtic,2004-05-31,21,Widowed,0,Ghanaian,Ghanaian,Midfielder,Right,194,67,93,Healthy,SoccerLink Africa,349,27222,48,73,146,57,0,0,10,1,75.9,51.1,None,5,2030,102237.69,16465329.64,1991441.08,44974460.85
Ayanda Molefe,Chippa United,1999-03-24,26,Married,4,Ghanaian,Ghanaian,Forward,Right,187,74,93,Recovering,PlayerFirst,221,13702,26,5,0,6,0,0,12,0,87.6,61.1,Baroka FC,5,2030,93624.79,10604204.4,704928.66,49610240.41
Sibusiso Mokoena,Golden Arrows,1990-05-18,35,Divorced,1,Ghanaian,Ghanaian,Midfielder,Both,176,78,24,Healthy,ProSport,183,11346,65,49,25,17,0,0,16,3,74.3,72.1,Free State Stars,5,2030,301614.58,6437995.96,1587287.66,19840117.96
Siyanda Baloyi,Golden Arrows,1991-03-10,34,Single,0,Ghanaian,Ghanaian,Forward,Both,192,88,54,Recovering,ProSport,109,6540,57,23,30,13,0,0,0,3,93.3,48.7,Baroka FC,5,2030,242898.74,23588221.88,55703.31,16970414.3
Vusi Radebe,AmaZulu FC,1999-12-29,26,Divorced,3,Ghanaian,Ghanaian,Midfielder,Both,172,79,69,Recovering,ProSport,110,8140,71,36,55,54,0,0,11,0,75.7,70.1,Bidvest Wits,5,2030,109993.38,12015069.41,1492248.27,46692489.55
Mandla Baloyi,Cape Town City,2006-07-30,19,Widowed,0,Ghanaian,Ghanaian,Defender,Both,183,71,65,Recovering,ProSport,67,5360,4,5,45,63,0,0,9,2,90.4,63.7,Baroka FC,5,2030,193199.63,1169893.95,1982000.19,26272507.07
Nomsa Hlongwane,Cape Town City,2000-06-03,25,Married,4,Ghanaian,Ghanaian,Defender,Left,187,71,49,Recovering,SA Elite Agents,396,26136,6,0,75,19,0,0,10,1,76.5,82.9,Highlands Park,5,2030,188642.68,5731417.13,52347.01,41566825.4
Ayanda Zulu,Orlando Pirates,1996-01-27,29,Single,1,Ghanaian,Ghanaian,Goalkeeper,Right,190,92,10,Injured,SA Elite Agents,275,15125,2,13,29,11,92,25,14,3,86.7,78.2,None,5,2030,156921.09,19941010.53,1243247.17,16286444.49
Kagiso Mashaba,Polokwane City,2004-05-06,21,Divorced,2,Ghanaian,Ghanaian,Forward,Right,169,88,93,Recovering,PlayerFirst,62,3100,64,37,25,16,0,0,1,0,73.4,42,Jomo Cosmos,5,2030,275762.95,10143610.76,431801.5,43123526.6
Lebogang Tshabalala,TS Galaxy,1990-10-28,35,Divorced,3,Ghanaian,Ghanaian,Forward,Left,171,86,98,Injured,None,124,6448,48,3,9,8,0,0,1,3,81.3,80.9,Bidvest Wits,5,2030,44402.85,10232588.26,1256938.46,10715350.87
Khanyi Nkosi,Chippa United,1988-07-15,37,Single,1,Ghanaian,Ghanaian,Forward,Both,178,83,87,Injured,SoccerLink Africa,316,27808,75,6,24,12,0,0,6,1,94.7,80.1,Bidvest Wits,5,2030,207065.76,13616085.99,1310991.41,2100612.48
Gugu Ngobeni,Mamelodi Sundowns,1989-12-05,36,Divorced,1,Ghanaian,Ghanaian,Forward,Left,180,77,72,Injured,PlayerFirst,282,20868,7,78,5,5,0,0,18,2,70.6,61.9,Tuks FC,5,2030,266521.1,10847472.23,1963160.08,45727741.49
Nomsa Mahlangu,Polokwane City,1991-07-16,34,Divorced,0,Malawian,Malawian,Forward,Left,171,81,83,Recovering,PlayerFirst,322,28980,80,0,2,17,0,0,16,2,83.6,56.1,None,1,2026,181654.11,19997955.16,96251.72,6646508.79
Sipho Khumalo,TS Galaxy,1990-02-10,35,Single,0,Malawian,Malawian,Goalkeeper,Right,190,80,32,Healthy,None,250,16250,0,6,9,50,8,42,20,3,89.8,82.3,Highlands Park,1,2026,321308.75,9026943.84,284056.11,7408202.99
Karabo Mokoena,Royal AM,2003-04-22,22,Single,0,Malawian,Malawian,Goalkeeper,Left,177,94,45,Injured,SA Elite Agents,308,22484,3,0,22,100,59,13,20,1,94.8,79.7,None,1,2026,264019.49,3594594.51,503517,49712212.77
Lindiwe Mabaso,TS Galaxy,1998-11-16,27,Married,3,Malawian,Malawian,Goalkeeper,Right,177,77,69,Injured,PlayerFirst,392,26656,1,15,24,50,126,76,3,0,91.1,47.6,Baroka FC,1,2026,130988.72,7382045.14,1615653.09,34145914.63
Mandla Mahlangu,Cape Town City,1999-10-10,26,Widowed,1,Malawian,Malawian,Goalkeeper,Right,166,71,50,Recovering,None,22,1782,4,11,29,43,27,12,10,0,84,71.9,Bidvest Wits,1,2026,219408.27,13629574.68,349913.89,24722943.76
Lindiwe Zulu,Kaizer Chiefs,1993-11-18,32,Single,0,Malawian,Malawian,Forward,Both,180,90,56,Injured,SA Elite Agents,11,781,34,9,17,13,0,0,16,0,73.4,55,Baroka FC,1,2026,123271.27,17910002.9,358761.19,26600492.72
Zanele Zulu,Polokwane City,2003-01-04,22,Widowed,0,Malawian,Malawian,Midfielder,Left,173,74,3,Recovering,PlayerFirst,281,20794,82,1,138,70,0,0,0,0,85.8,84,Black Leopards,1,2026,272547.68,19425322.96,1649752.74,48656107.03
Kagiso Molefe,AmaZulu FC,1991-01-04,34,Divorced,0,Malawian,Malawian,Defender,Right,189,68,62,Healthy,None,28,2464,5,4,130,62,0,0,5,3,73.8,57.1,Black Leopards,1,2026,31614.69,14583801.24,1916318.64,28965922.61
Karabo Molefe,Kaizer Chiefs,1998-07-05,27,Widowed,0,Malawian,Malawian,Forward,Right,182,86,17,Injured,None,351,26676,58,47,18,20,0,0,5,0,81.5,42.2,Highlands Park,1,2026,113528.49,2289408.01,453807.9,20201650.28
Thabo Mashaba,Golden Arrows,2006-04-06,19,Single,1,Malawian,Malawian,Defender,Left,179,83,7,Recovering,PlayerFirst,48,4176,7,9,77,77,0,0,18,2,84,52.5,Free State Stars,1,2026,248355.93,5390108.01,1927188.66,42404813.58
Siyanda Mabaso,TS Galaxy,1999-10-02,26,Married,2,Malawian,Malawian,Goalkeeper,Right,189,89,32,Healthy,SA Elite Agents,164,14104,4,5,20,118,143,11,0,2,78.5,44.9,None,1,2026,312723.84,6926328.08,985962.76,48362989.32
Tumelo Khumalo,Kaizer Chiefs,1996-08-28,29,Married,4,Malawian,Malawian,Forward,Both,175,95,62,Healthy,None,252,20664,48,24,19,3,0,0,4,1,85.3,46,None,2,2027,240976.69,20475239.98,1669544.26,2163905.51
Nokuthula Mabena,Golden Arrows,2007-10-10,18,Divorced,2,Malawian,Malawian,Goalkeeper,Left,193,73,44,Healthy,PlayerFirst,30,2550,7,11,28,5,100,59,18,1,89.5,53.6,Highlands Park,2,2027,298597.82,22990985.62,1980898,35987833.84
Nokuthula Mabena,SuperSport United,1998-02-03,27,Single,0,Malawian,Malawian,Midfielder,Right,170,62,56,Injured,PlayerFirst,290,14500,114,53,66,92,0,0,5,0,83.7,42.8,Highlands Park,2,2027,48490.24,14951605.34,1726285.4,5354852.09
Mandla Khumalo,Orlando Pirates,1988-12-18,37,Widowed,1,Malawian,Malawian,Defender,Right,192,91,29,Injured,SA Elite Agents,197,15366,3,12,2,26,0,0,12,1,78.8,65.8,Free State Stars,2,2027,109938.38,20192324.94,734640.59,13422478.03
Mpho Radebe,TS Galaxy,1995-08-06,30,Widowed,0,Malawian,Malawian,Forward,Both,175,64,21,Healthy,SA Elite Agents,295,16815,18,32,30,6,0,0,8,3,86,40.8,Bidvest Wits,2,2027,252992.59,4868920.61,1228970.27,14388147.66
Thabo Mthembu,AmaZulu FC,1994-11-15,31,Widowed,0,Malawian,Malawian,Forward,Left,183,71,20,Injured,ProSport,108,8316,22,67,13,0,0,0,10,0,87.8,76.2,Bidvest Wits,2,2027,349720.39,15022950.76,1338288,9613973.26
Vusi Khumalo,AmaZulu FC,1995-09-13,30,Single,0,Malawian,Malawian,Forward,Left,189,67,72,Recovering,None,149,12963,59,78,30,7,0,0,8,1,86.2,50.4,Tuks FC,2,2027,334248.27,13023693.51,975933.83,40160496.6
Mpho Zulu,TS Galaxy,2007-01-03,18,Divorced,2,Malawian,Malawian,Goalkeeper,Right,166,61,42,Injured,PlayerFirst,1,73,5,14,5,69,42,42,9,1,90.4,41.5,Black Leopards,2,2027,150943.65,1061705.4,1963106.2,3211734.55
Thembi Mthembu,SuperSport United,1994-06-14,31,Single,0,Malawian,Malawian,Goalkeeper,Right,169,76,85,Recovering,SoccerLink Africa,325,24050,10,5,0,81,188,11,6,0,84.1,81,Highlands Park,2,2027,225031.37,6955522.52,391969.82,23228609.23
Karabo Phiri,Chippa United,2006-05-12,19,Single,0,Malawian,Malawian,Midfielder,Both,173,78,54,Recovering,SoccerLink Africa,356,22072,72,2,98,103,0,0,12,1,86.7,64.5,Jomo Cosmos,3,2028,195745.99,3223935.89,773987.03,33469523.39
Mandla Khumalo,Mamelodi Sundowns,1997-06-26,28,Married,2,Malawian,Malawian,Defender,Left,185,86,11,Injured,None,396,28512,9,11,11,5,0,0,4,2,93.7,79.5,Jomo Cosmos,3,2028,85109.33,13787895.12,1030692.91,11914656.31
Boitumelo Ndlovu,Kaizer Chiefs,2002-11-07,23,Married,3,Malawian,Malawian,Goalkeeper,Both,180,68,77,Recovering,ProSport,305,22570,9,2,2,78,166,33,16,2,95,51,Highlands Park,3,2028,226094.04,14697793.01,443667.86,35775733.74
Nokuthula Mthembu,Mamelodi Sundowns,1994-11-27,31,Single,0,Malawian,Malawian,Midfielder,Both,181,68,83,Healthy,None,247,15808,114,21,3,35,0,0,16,3,81.2,45.7,Highlands Park,3,2028,339581.5,5235061.4,865594.53,28642519.32
Thabo Mabena,Polokwane City,1993-04-22,32,Married,0,Malawian,Malawian,Forward,Right,189,62,20,Injured,SoccerLink Africa,300,20100,40,52,28,16,0,0,11,3,82.8,45.6,Highlands Park,3,2028,38737.87,4792824.61,1603811.21,16336540.76
Khanyi Ndlovu,Moroka Swallows,2006-02-03,19,Widowed,0,Malawian,Malawian,Forward,Both,182,85,11,Recovering,ProSport,192,16704,58,66,15,5,0,0,16,1,94.3,77,Jomo Cosmos,3,2028,315315.28,6077747.85,362008.05,8333817.03
Kagiso Dlamini,Golden Arrows,1993-12-20,32,Widowed,0,Malawian,Malawian,Forward,Both,169,81,83,Injured,PlayerFirst,201,12060,111,48,11,9,0,0,17,1,81.6,51.7,Tuks FC,3,2028,127454.5,9383118.97,1241278.2,16082799.98
Lerato Tshabalala,Royal AM,1992-10-24,33,Married,1,Malawian,Malawian,Goalkeeper,Both,188,75,57,Recovering,SA Elite Agents,168,11256,10,14,29,60,63,23,17,0,88.4,56.8,Baroka FC,4,2029,63496.23,2622214.92,1921854.35,47418762.29
Zanele Mokoena,Chippa United,2007-04-03,18,Widowed,0,Malawian,Malawian,Defender,Both,177,64,13,Recovering,ProSport,197,14184,2,9,139,26,0,0,17,0,92.3,50.3,Tuks FC,4,2029,160931.63,7601973.53,884826.39,27893103.22
Lerato Ngobeni,AmaZulu FC,1992-08-18,33,Single,1,Malawian,Malawian,Goalkeeper,Right,189,86,77,Healthy,ProSport,140,11480,2,10,13,62,32,68,0,3,89.5,65.3,Highlands Park,4,2029,293636.38,24231618.07,1001572.68,14480159.27
Lerato Khumalo,Royal AM,1992-04-10,33,Divorced,0,Malawian,Malawian,Forward,Right,168,63,92,Recovering,SA Elite Agents,300,25200,3,44,17,20,0,0,12,2,91.7,53.4,None,4,2029,115494.31,18347438.65,1637655.22,17544349.2
Kabelo Phiri,Chippa United,1997-07-02,28,Single,0,Malawian,Malawian,Forward,Right,169,65,22,Recovering,None,103,7519,43,4,9,9,0,0,15,0,85.2,66.9,Baroka FC,4,2029,134256.79,16083143.26,1065703.61,38977774.39
Khanyi Baloyi,SuperSport United,1993-05-31,32,Married,4,Malawian,Malawian,Defender,Right,187,84,1,Healthy,None,346,29756,2,1,121,33,0,0,13,3,76.2,77,Highlands Park,4,2029,24461.93,10481992.09,1972535.76,2332071.61
Boitumelo Mokoena,Richards Bay FC,1993-10-28,32,Widowed,1,Malawian,Malawian,Defender,Right,171,92,4,Recovering,PlayerFirst,290,14790,8,14,50,9,0,0,1,3,89.8,63.4,Bidvest Wits,4,2029,329528.39,13308361.57,1227342.94,5308287.74
Tumelo Dlamini,Chippa United,1998-12-12,27,Widowed,1,Malawian,Malawian,Defender,Left,187,73,86,Recovering,SA Elite Agents,260,20020,5,4,91,92,0,0,20,3,89,42.3,Black Leopards,4,2029,343481.45,3887075.67,503484.94,42975989.16
Kagiso Zulu,Mamelodi Sundowns,2005-10-02,20,Divorced,2,Malawian,Malawian,Midfielder,Both,184,67,98,Healthy,ProSport,327,23217,89,45,145,70,0,0,10,1,87.5,59.5,Highlands Park,5,2030,186330.64,8194397.39,1232843.04,24126397.12
Sibusiso Khumalo,Polokwane City,2006-08-30,19,Divorced,1,Malawian,Malawian,Goalkeeper,Both,183,83,94,Healthy,SoccerLink Africa,216,16416,7,14,20,34,85,37,11,0,81.8,43.9,Highlands Park,5,2030,252156.6,10638383.77,1527424.22,8330388.79
Tumelo Ngobeni,AmaZulu FC,1994-08-14,31,Divorced,0,Malawian,Malawian,Goalkeeper,Left,195,71,91,Healthy,None,15,960,4,1,23,36,169,4,6,1,83.6,47.1,Baroka FC,5,2030,157788.45,8657304.17,1683041.43,26891404.61
Vusi Mabena,Richards Bay FC,2001-06-19,24,Widowed,1,Malawian,Malawian,Midfielder,Both,168,82,20,Injured,ProSport,323,20349,113,18,28,108,0,0,10,3,76.7,74.9,None,5,2030,93523.54,14361811.01,394225.71,8876465.27
Mpho Tshabalala,Kaizer Chiefs,1998-01-28,27,Single,1,Malawian,Malawian,Goalkeeper,Left,173,73,1,Injured,None,241,21690,8,5,8,43,62,17,0,0,72.6,48.2,None,5,2030,98022.29,22955437.82,531672.05,45730464.27
Sipho Nkosi,Royal AM,2007-04-30,18,Divorced,1,Malawian,Malawian,Midfielder,Left,176,65,76,Healthy,None,172,9460,33,40,116,2,0,0,6,1,71.6,70.1,Highlands Park,5,2030,299916.07,22205108.17,1407125.26,30384965.47
Mandla Mahlangu,Sekhukhune United,1997-06-06,28,Divorced,2,Malawian,Malawian,Forward,Both,195,88,76,Healthy,ProSport,320,24320,13,52,14,9,0,0,3,0,80.9,81.5,Jomo Cosmos,5,2030,215650.85,12072764.18,586455.29,34522642.05
Lerato Mabena,Cape Town City,2004-12-26,21,Married,1,Mozambican,Mozambican,Forward,Both,169,65,17,Healthy,SoccerLink Africa,322,17710,62,57,19,18,0,0,8,0,71.7,70.3,Jomo Cosmos,1,2026,330195.18,18136935.62,1807432.12,23675912.71
Thabo Sithole,TS Galaxy,2003-12-24,22,Divorced,3,Mozambican,Mozambican,Midfielder,Right,172,73,41,Healthy,SA Elite Agents,76,3952,98,2,54,30,0,0,12,1,74.2,55.7,Free State Stars,1,2026,168574.4,12666747,649691.76,33405968.03
Lebogang Mashaba,Stellenbosch FC,1987-11-29,38,Divorced,3,Mozambican,Mozambican,Defender,Both,193,71,30,Injured,None,48,4128,5,1,117,72,0,0,2,0,91.3,81.1,Bidvest Wits,1,2026,263174.83,791604.82,1014298.32,6086218.49
Nomsa Mthembu,Moroka Swallows,2006-11-02,19,Single,0,Mozambican,Mozambican,Defender,Left,178,82,23,Healthy,SoccerLink Africa,47,3102,5,9,58,40,0,0,19,3,84.7,84,Jomo Cosmos,1,2026,277428.3,5725466.67,1461889.96,25118729.18
Lerato Mabaso,Stellenbosch FC,1995-04-29,30,Single,1,Mozambican,Mozambican,Forward,Both,193,81,64,Healthy,ProSport,165,8415,29,50,21,9,0,0,6,2,87.7,50.4,Free State Stars,2,2027,278658.23,22571464.82,1740282.1,33713909.58
Gugu Molefe,Sekhukhune United,1995-03-18,30,Single,0,Mozambican,Mozambican,Midfielder,Right,184,61,28,Injured,ProSport,361,22021,1,42,75,42,0,0,8,1,87.9,76.5,Free State Stars,2,2027,265073.91,23217982.78,1452777.16,26489241.15
Kabelo Mokoena,Richards Bay FC,2002-03-25,23,Single,0,Mozambican,Mozambican,Defender,Both,187,91,21,Recovering,SA Elite Agents,126,9072,3,7,122,100,0,0,7,2,88.7,60.2,Black Leopards,2,2027,126574.35,19040090.16,489316.58,23119029.35
Thabo Sithole,Bloemfontein Celtic,1997-11-11,28,Divorced,0,Mozambican,Mozambican,Goalkeeper,Both,184,90,83,Injured,None,364,18564,2,13,5,27,12,46,10,3,83.2,51.2,Free State Stars,2,2027,192257,11841085.59,244053.64,24683983.69
Kagiso Khumalo,Mamelodi Sundowns,1994-04-24,31,Single,0,Mozambican,Mozambican,Goalkeeper,Left,169,90,70,Healthy,None,373,22753,6,9,11,40,74,74,8,2,85.1,70.1,Bidvest Wits,2,2027,58201.9,10250362.12,1549792.46,48311959.28
Kagiso Molefe,Sekhukhune United,2002-06-01,23,Divorced,1,Mozambican,Mozambican,Midfielder,Left,181,65,74,Injured,ProSport,275,22825,71,11,14,114,0,0,4,2,87,82.8,None,2,2027,82014.63,18261896.7,1323280.39,10831979.32
Mandla Mabena,Richards Bay FC,1993-09-17,32,Married,1,Mozambican,Mozambican,Goalkeeper,Both,190,75,57,Healthy,ProSport,386,21230,5,4,6,72,184,26,16,1,90.3,51.4,Jomo Cosmos,2,2027,231055.75,10483151.43,1921343.43,20070708.91
